resource_uri,id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
https://www.courtlistener.com/api/rest/v4/courts/ca5/,ca5,5.0,False,,,5,2023-02-22T08:08:36.484112-08:00,True,True,True,105.0,5th Cir.,Fifth Circuit,Court of Appeals for the Fifth Circuit,http://www.ca5.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca6/,ca6,6.0,True,"orders,opinions,judgments",,6,2023-02-22T07:45:44.669268-08:00,True,True,True,106.0,6th Cir.,Sixth Circuit,Court of Appeals for the Sixth Circuit,http://www.ca6.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca7/,ca7,7.0,False,,,7,2023-02-22T08:09:08.102199-08:00,True,True,True,107.0,7th Cir.,Seventh Circuit,Court of Appeals for the Seventh Circuit,http://www.ca7.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca8/,ca8,8.0,False,,,8,2023-02-22T08:09:17.894259-08:00,True,True,True,108.0,8th Cir.,Eighth Circuit,Court of Appeals for the Eighth Circuit,http://www.ca8.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca9/,ca9,9.0,False,,,9,2023-02-22T08:09:25.712512-08:00,True,True,True,109.0,9th Cir.,Ninth Circuit,Court of Appeals for the Ninth Circuit,http://www.ca9.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca10/,ca10,10.0,True,opinions,,10,2023-02-22T07:46:10.792990-08:00,True,True,True,110.0,10th Cir.,Tenth Circuit,Court of Appeals for the Tenth Circuit,http://www.ca10.uscourts.gov/,1929-02-28,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca11/,ca11,11.0,True,opinions,,11,2023-02-22T07:46:38.578459-08:00,True,True,True,111.0,11th Cir.,Eleventh Circuit,Court of Appeals for the Eleventh Circuit,http://www.ca11.uscourts.gov/,1980-10-14,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/cadc/,cadc,12.0,True,"orders,opinions,judgments",,0,2023-02-22T07:47:08.587174-08:00,True,True,True,112.0,D.C. Cir.,D.C. Circuit,Court of Appeals for the D.C. Circuit,http://www.cadc.uscourts.gov/,1893-02-09,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/cafc/,cafc,13.0,True,"orders,opinions,judgments",,,2023-02-22T07:47:46.790323-08:00,True,True,True,113.0,Fed. Cir.,Federal Circuit,Court of Appeals for the Federal Circuit,http://www.cafc.uscourts.gov/,1982-04-02,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ag/,ag,,,,,,2025-07-25T07:26:21.242776-07:00,False,False,False,113.04,Op. Att’y Gen.,Attorneys General,United States Attorneys General,https://www.justice.gov/olc/opinions-main,,,FS,,[]
https://www.courtlistener.com/api/rest/v4/courts/afcca/,afcca,,,,,,2023-10-02T08:46:25.830669-07:00,True,True,False,113.05,A.F.C.C.A.,Air Force Court of Criminal Appeals,United States Air Force Court of Criminal Appeals,http://afcca.law.af.mil/,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/usafctmilrev/,usafctmilrev,,,,,,2023-10-02T08:46:25.835060-07:00,True,False,False,113.06,,U S Air Force Court of Military Review,U S Air Force Court of Military Review,,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/asbca/,asbca,,,,,,2014-09-18T18:15:36.995000-07:00,True,True,False,113.1,A.S.B.C.A.,Armed Services Board of Contract Appeals,Armed Services Board of Contract Appeals,http://www.asbca.mil/,,,FS,,[]
https://www.courtlistener.com/api/rest/v4/courts/armfor/,armfor,,,,,,2023-10-02T08:46:25.841516-07:00,True,True,False,113.2,C.A.A.F.,Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,http://www.armfor.uscourts.gov/,1951-05-31,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/cma/,cma,,,,,,2023-10-02T08:46:25.846416-07:00,True,False,False,113.21,,United States Court of Military Appeals,United States Court of Military Appeals,,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/scotus/,scotus,,,,,,2014-10-30T18:59:15.952000-07:00,True,True,True,1.0,SCOTUS,Supreme Court,Supreme Court of the United States,http://supremecourt.gov/,1789-09-24,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca1/,ca1,1.0,False,,,1,2023-02-22T08:08:13.910202-08:00,True,True,True,101.0,1st Cir.,First Circuit,Court of Appeals for the First Circuit,http://www.ca1.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca2/,ca2,2.0,True,"orders, opinions",,2,2023-02-22T07:58:28.729123-08:00,True,True,True,102.0,2d Cir.,Second Circuit,Court of Appeals for the Second Circuit,http://www.ca2.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca3/,ca3,3.0,False,,,3,2023-02-22T08:08:24.971997-08:00,True,True,True,103.0,3rd Cir.,Third Circuit,Court of Appeals for the Third Circuit,http://www.ca3.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca4/,ca4,4.0,True,"orders, opinions, judgments",,4,2023-02-22T07:58:31.502754-08:00,True,True,True,104.0,4th Cir.,Fourth Circuit,Court of Appeals for the Fourth Circuit,http://www.ca4.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca5/,ca5,5.0,False,,,5,2023-02-22T08:08:36.484112-08:00,True,True,True,105.0,5th Cir.,Fifth Circuit,Court of Appeals for the Fifth Circuit,http://www.ca5.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca6/,ca6,6.0,True,"orders,opinions,judgments",,6,2023-02-22T07:45:44.669268-08:00,True,True,True,106.0,6th Cir.,Sixth Circuit,Court of Appeals for the Sixth Circuit,http://www.ca6.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca7/,ca7,7.0,False,,,7,2023-02-22T08:09:08.102199-08:00,True,True,True,107.0,7th Cir.,Seventh Circuit,Court of Appeals for the Seventh Circuit,http://www.ca7.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca8/,ca8,8.0,False,,,8,2023-02-22T08:09:17.894259-08:00,True,True,True,108.0,8th Cir.,Eighth Circuit,Court of Appeals for the Eighth Circuit,http://www.ca8.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca9/,ca9,9.0,False,,,9,2023-02-22T08:09:25.712512-08:00,True,True,True,109.0,9th Cir.,Ninth Circuit,Court of Appeals for the Ninth Circuit,http://www.ca9.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca10/,ca10,10.0,True,opinions,,10,2023-02-22T07:46:10.792990-08:00,True,True,True,110.0,10th Cir.,Tenth Circuit,Court of Appeals for the Tenth Circuit,http://www.ca10.uscourts.gov/,1929-02-28,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca11/,ca11,11.0,True,opinions,,11,2023-02-22T07:46:38.578459-08:00,True,True,True,111.0,11th Cir.,Eleventh Circuit,Court of Appeals for the Eleventh Circuit,http://www.ca11.uscourts.gov/,1980-10-14,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/cadc/,cadc,12.0,True,"orders,opinions,judgments",,0,2023-02-22T07:47:08.587174-08:00,True,True,True,112.0,D.C. Cir.,D.C. Circuit,Court of Appeals for the D.C. Circuit,http://www.cadc.uscourts.gov/,1893-02-09,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/cafc/,cafc,13.0,True,"orders,opinions,judgments",,,2023-02-22T07:47:46.790323-08:00,True,True,True,113.0,Fed. Cir.,Federal Circuit,Court of Appeals for the Federal Circuit,http://www.cafc.uscourts.gov/,1982-04-02,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ag/,ag,,,,,,2025-07-25T07:26:21.242776-07:00,False,False,False,113.04,Op. Att’y Gen.,Attorneys General,United States Attorneys General,https://www.justice.gov/olc/opinions-main,,,FS,,[]
https://www.courtlistener.com/api/rest/v4/courts/afcca/,afcca,,,,,,2023-10-02T08:46:25.830669-07:00,True,True,False,113.05,A.F.C.C.A.,Air Force Court of Criminal Appeals,United States Air Force Court of Criminal Appeals,http://afcca.law.af.mil/,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/usafctmilrev/,usafctmilrev,,,,,,2023-10-02T08:46:25.835060-07:00,True,False,False,113.06,,U S Air Force Court of Military Review,U S Air Force Court of Military Review,,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/asbca/,asbca,,,,,,2014-09-18T18:15:36.995000-07:00,True,True,False,113.1,A.S.B.C.A.,Armed Services Board of Contract Appeals,Armed Services Board of Contract Appeals,http://www.asbca.mil/,,,FS,,[]
https://www.courtlistener.com/api/rest/v4/courts/armfor/,armfor,,,,,,2023-10-02T08:46:25.841516-07:00,True,True,False,113.2,C.A.A.F.,Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,http://www.armfor.uscourts.gov/,1951-05-31,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/cma/,cma,,,,,,2023-10-02T08:46:25.846416-07:00,True,False,False,113.21,,United States Court of Military Appeals,United States Court of Military Appeals,,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/scotus/,scotus,,,,,,2014-10-30T18:59:15.952000-07:00,True,True,True,1.0,SCOTUS,Supreme Court,Supreme Court of the United States,http://supremecourt.gov/,1789-09-24,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca1/,ca1,1.0,False,,,1,2023-02-22T08:08:13.910202-08:00,True,True,True,101.0,1st Cir.,First Circuit,Court of Appeals for the First Circuit,http://www.ca1.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca2/,ca2,2.0,True,"orders, opinions",,2,2023-02-22T07:58:28.729123-08:00,True,True,True,102.0,2d Cir.,Second Circuit,Court of Appeals for the Second Circuit,http://www.ca2.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca3/,ca3,3.0,False,,,3,2023-02-22T08:08:24.971997-08:00,True,True,True,103.0,3rd Cir.,Third Circuit,Court of Appeals for the Third Circuit,http://www.ca3.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca4/,ca4,4.0,True,"orders, opinions, judgments",,4,2023-02-22T07:58:31.502754-08:00,True,True,True,104.0,4th Cir.,Fourth Circuit,Court of Appeals for the Fourth Circuit,http://www.ca4.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca5/,ca5,5.0,False,,,5,2023-02-22T08:08:36.484112-08:00,True,True,True,105.0,5th Cir.,Fifth Circuit,Court of Appeals for the Fifth Circuit,http://www.ca5.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca6/,ca6,6.0,True,"orders,opinions,judgments",,6,2023-02-22T07:45:44.669268-08:00,True,True,True,106.0,6th Cir.,Sixth Circuit,Court of Appeals for the Sixth Circuit,http://www.ca6.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca7/,ca7,7.0,False,,,7,2023-02-22T08:09:08.102199-08:00,True,True,True,107.0,7th Cir.,Seventh Circuit,Court of Appeals for the Seventh Circuit,http://www.ca7.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca8/,ca8,8.0,False,,,8,2023-02-22T08:09:17.894259-08:00,True,True,True,108.0,8th Cir.,Eighth Circuit,Court of Appeals for the Eighth Circuit,http://www.ca8.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca9/,ca9,9.0,False,,,9,2023-02-22T08:09:25.712512-08:00,True,True,True,109.0,9th Cir.,Ninth Circuit,Court of Appeals for the Ninth Circuit,http://www.ca9.uscourts.gov/,1891-03-03,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca10/,ca10,10.0,True,opinions,,10,2023-02-22T07:46:10.792990-08:00,True,True,True,110.0,10th Cir.,Tenth Circuit,Court of Appeals for the Tenth Circuit,http://www.ca10.uscourts.gov/,1929-02-28,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ca11/,ca11,11.0,True,opinions,,11,2023-02-22T07:46:38.578459-08:00,True,True,True,111.0,11th Cir.,Eleventh Circuit,Court of Appeals for the Eleventh Circuit,http://www.ca11.uscourts.gov/,1980-10-14,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/cadc/,cadc,12.0,True,"orders,opinions,judgments",,0,2023-02-22T07:47:08.587174-08:00,True,True,True,112.0,D.C. Cir.,D.C. Circuit,Court of Appeals for the D.C. Circuit,http://www.cadc.uscourts.gov/,1893-02-09,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/cafc/,cafc,13.0,True,"orders,opinions,judgments",,,2023-02-22T07:47:46.790323-08:00,True,True,True,113.0,Fed. Cir.,Federal Circuit,Court of Appeals for the Federal Circuit,http://www.cafc.uscourts.gov/,1982-04-02,,F,,[]
https://www.courtlistener.com/api/rest/v4/courts/ag/,ag,,,,,,2025-07-25T07:26:21.242776-07:00,False,False,False,113.04,Op. Att’y Gen.,Attorneys General,United States Attorneys General,https://www.justice.gov/olc/opinions-main,,,FS,,[]
https://www.courtlistener.com/api/rest/v4/courts/afcca/,afcca,,,,,,2023-10-02T08:46:25.830669-07:00,True,True,False,113.05,A.F.C.C.A.,Air Force Court of Criminal Appeals,United States Air Force Court of Criminal Appeals,http://afcca.law.af.mil/,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/usafctmilrev/,usafctmilrev,,,,,,2023-10-02T08:46:25.835060-07:00,True,False,False,113.06,,U S Air Force Court of Military Review,U S Air Force Court of Military Review,,,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/asbca/,asbca,,,,,,2014-09-18T18:15:36.995000-07:00,True,True,False,113.1,A.S.B.C.A.,Armed Services Board of Contract Appeals,Armed Services Board of Contract Appeals,http://www.asbca.mil/,,,FS,,[]
https://www.courtlistener.com/api/rest/v4/courts/armfor/,armfor,,,,,,2023-10-02T08:46:25.841516-07:00,True,True,False,113.2,C.A.A.F.,Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,http://www.armfor.uscourts.gov/,1951-05-31,,MA,,[]
https://www.courtlistener.com/api/rest/v4/courts/cma/,cma,,,,,,2023-10-02T08:46:25.846416-07:00,True,False,False,113.21,,United States Court of Military Appeals,United States Court of Military Appeals,,,,MA,,[]
